,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,Number_people_rated,URLs,Rating category
0,complete novel sherlock holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,169.0,4.4,19923.0,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318054031_d_sccl_1/000-0000000-0000000?psc=1,Good
1,black hole l reith lecture paperback hawking stephen,Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,99.0,4.5,7686.0,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_1318054031_d_sccl_2/000-0000000-0000000?psc=1,Good
2,kite runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,175.75,4.6,50016.0,https://www.amazon.in/Kite-Runner-Khaled-Hosseini-ebook/dp/B00B0CR0O6/ref=zg_bs_g_1318054031_d_sccl_3/000-0000000-0000000?psc=1,Good
3,greenlights raucous story outlaw wisdom academy award winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,389.0,4.6,32040.0,https://www.amazon.in/Greenlights-Raucous-stories-Academy-Award-winning/dp/1472280873/ref=zg_bs_g_1318054031_d_sccl_4/000-0000000-0000000?psc=1,Good
4,science storytelling story make u human tell better,Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,348.16,4.5,1707.0,https://www.amazon.in/Science-Storytelling-Will-Storr/dp/0008276978/ref=zg_bs_g_1318054031_d_sccl_5/000-0000000-0000000?psc=1,Good
5,fantastic beast find original screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,313.95,4.5,15122.0,https://www.amazon.in/Fantastic-Beasts-Where-Find-Them-ebook/dp/B01ETJABRE/ref=zg_bs_g_1318054031_d_sccl_6/000-0000000-0000000?psc=1,Good
6,fantastic beast crime grindelwald original screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,313.95,4.6,10152.0,https://www.amazon.in/Fantastic-Beasts-Grindelwald-Original-Screenplay-ebook/dp/B07BL2VNNV/ref=zg_bs_g_1318054031_d_sccl_7/000-0000000-0000000?psc=1,Good
7,desperately seeking shah rukh india lonely young woman search intimacy independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,Paperback,348.16,4.5,539.0,https://www.amazon.in/Desperately-Seeking-Shah-Rukh-Independence/dp/9356292140/ref=zg_bs_g_1318054031_d_sccl_8/000-0000000-0000000?psc=1,Good
8,save cat last book screenwriting ever need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,Paperback,850.0,4.5,7060.0,https://www.amazon.in/Save-Cat-Last-Screenwriting-Youll/dp/1932907009/ref=zg_bs_g_1318054031_d_sccl_9/000-0000000-0000000?psc=1,Good
9,screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,644.52,4.5,3216.0,https://www.amazon.in/Screenplay-Foundations-Screenwriting-Syd-Field/dp/0385339038/ref=zg_bs_g_1318054031_d_sccl_10/000-0000000-0000000?psc=1,Good
10,one day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,892.0,4.2,10550.0,https://www.amazon.in/One-Day/dp/B079P515NK/ref=zg_bs_g_1318054031_d_sccl_11/000-0000000-0000000?psc=1,Good
11,sach kahun toh autobiography,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,361.0,4.4,1558.0,https://www.amazon.in/SACH-KAHUN-AUTOBIOGRAPHY-NEENA-GUPTA/dp/0670095273/ref=zg_bs_g_1318054031_d_sccl_12/000-0000000-0000000?psc=1,Good
12,princess remembers pb,Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,Paperback,572.0,4.5,719.0,https://www.amazon.in/Princess-Remembers-Maharani-Gayatri/dp/8171673074/ref=zg_bs_g_1318054031_d_sccl_13/000-0000000-0000000?psc=1,Good
13,anatomy story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,479.0,4.6,2871.0,https://www.amazon.in/Anatomy-Story-Becoming-Master-Storyteller/dp/0865479933/ref=zg_bs_g_1318054031_d_sccl_14/000-0000000-0000000?psc=1,Good
14,studio ghibli complete work,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2132.78,4.8,226.0,https://www.amazon.in/Studio-Ghibli-Complete-Works/dp/1647291496/ref=zg_bs_g_1318054031_d_sccl_15/000-0000000-0000000?psc=1,Good
15,story style structure substance principle screenwriting,Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2612.0,4.7,2653.0,https://www.amazon.in/Story-Structure-Substance-Principles-Screenwriting/dp/0060391685/ref=zg_bs_g_1318054031_d_sccl_16/000-0000000-0000000?psc=1,Good
16,greenlights raucous story outlaw wisdom academy award winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,371.7,4.6,32040.0,https://www.amazon.in/Greenlights-Raucous-stories-Academy-Award-winning-ebook/dp/B08DFKSZDF/ref=zg_bs_g_1318054031_d_sccl_17/000-0000000-0000000?psc=1,Good
17,bruce lee,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,424.0,4.7,915.0,https://www.amazon.in/Bruce-Lee-Life-Matthew-Polly/dp/1471175723/ref=zg_bs_g_1318054031_d_sccl_18/000-0000000-0000000?psc=1,Good
18,journey wild,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,438.0,4.6,389.0,https://www.amazon.in/JOURNEYS-WILD-Sir-David-Attenborough/dp/1841883115/ref=zg_bs_g_1318054031_d_sccl_19/000-0000000-0000000?psc=1,Good
19,speaking film penguin ray library,Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,207.0,4.6,311.0,https://www.amazon.in/Speaking-Films-Satyajit-Ray/dp/0144000261/ref=zg_bs_g_1318054031_d_sccl_20/000-0000000-0000000?psc=1,Good
20,jadunama javed akhtar ek safar hindi,Arvind Mandloi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,1358.0,4.3,27.0,https://www.amazon.in/JADUNAMA-Javed-Akhtar-Safar-Hindi/dp/935543233X/ref=zg_bs_g_1318054031_d_sccl_21/000-0000000-0000000?psc=1,Good
21,satyajit ray miscellany life cinema,Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,401.0,4.6,127.0,https://www.amazon.in/Satyajit-Ray-Miscellany-Penguin-Library/dp/0143448994/ref=zg_bs_g_1318054031_d_sccl_22/000-0000000-0000000?psc=1,Good
